id,question,skill,choice1,choice2,choice3,choice4,correct_choice,explanation1,explanation2,explanation3,explanation4,category,status
19911,What significant event in Christianity happened in the year 325 AD?,medium,The Council of Trent,The First Council of Nicaea,The Council of Chalcedon,The Council of Ephesus,2,This council was held in the mid-16th century by the Roman Catholic Church in response to the Protestant Reformation.,"This was the first ecumenical council held in the Christian church and was convened by Emperor Constantine, where the Nicene Creed was established.",The Council of Chalcedon was held in 451 AD and was called to resolve the theological issue of the nature of Christ.,The Council of Ephesus was held in 431 AD and was called to refute Nestorianism.,Key Christian Events,checked 2023-06-05 12:07:05
19912,Which book of the Bible tells the story of a man who receives two tablets on which are written the Ten Commandments?,medium,Leviticus,Deuteronomy,Exodus,Numbers,3,Leviticus primarily focuses on the laws and regulations regarding priestly duties and worship.,Deuteronomy contains the laws and teachings of Moses.,"Exodus tells the story of the Israelites' escape from Egypt and their time in the wilderness, including the receiving of the Ten Commandments.",Numbers primarily focuses on the Israelites' time in the wilderness and their journey to the Promised Land.,Books of the Bible,checked 2023-06-05 12:07:31
19913,What is the meaning of the Parable of the Talents?,medium,It is a parable of the lost coin,It is a parable of the sower,It is a parable of the unforgiving servant,It is a parable of the ten virgins,3,The Parable of the Lost Coin is about a woman who loses a coin and searches for it,The Parable of the Sower is about a farmer who sows seeds,The Parable of the Unforgiving Servant is about a servant who is forgiven by his master but does not forgive a fellow servant,The Parable of the Ten Virgins is about ten bridesmaids who wait for the bridegroom to arrive,Parables of Jesus,checked 2023-06-05 12:08:03
19914,What miracle did Peter and John perform in Acts 3:1-10?,medium,Healed a blind man,Raised a dead man,Fed the 5000,Stopped a storm,1,Peter and John healed a man who was lame from birth at the Beautiful Gate in the temple.,There is no record of Peter and John raising a dead man in the Bible.,"Feeding the 5000 was a miracle that Jesus performed, not Peter and John.","Stopping a storm was a miracle that Jesus performed, not Peter and John.",Bible Miracles,checked 2023-06-05 15:40:02
19915,What does the Dove symbolize in Christianity?,medium,The Holy Spirit,Jesus Christ,Saint Peter,The Virgin Mary,1,"The Dove is a symbol of the Holy Spirit, as indicated in Matthew 3:16 and Luke 3:22, where the Holy Spirit descended on Jesus like a dove during his baptism.","Incorrect. Although Jesus Christ was referred to as the 'Lamb of God' in Christianity, the Dove is not a symbol of Jesus Christ.","Incorrect. Saint Peter is typically represented by the Keys of Heaven or the upside-down cross, but not the Dove.","Incorrect. While the Virgin Mary in Christianity is often represented by the lily flower or as the Mother of God, the Dove is not a symbol of the Virgin Mary.",Christian Symbols,checked 2023-06-05 12:14:03
19916,What body of water did Jesus walk on in the New Testament?,medium,Sea of Tiberias,Dead Sea,Red Sea,Sea of Galilee,4,"Also known as Lake Kinneret, the Sea of Galilee is the lowest freshwater lake on Earth and a famous location in the New Testament.",The Dead Sea is a salt lake bordered by Jordan to the east and Israel and Palestine to the west.,"The Red Sea is a seawater inlet of the Indian Ocean, lying between Africa and Asia.","Also known as Lake Kinneret, the Sea of Galilee is the lowest freshwater lake on Earth and a famous location in the New Testament.",Biblical Geography,checked 2023-06-05 12:14:32
19917,Which Christian denomination is known for their strict adherence to pacifism and non-violent resistance?,medium,Lutheranism,Anglicanism,Mennonite,Presbyterianism,3,Lutheranism is a major branch of Protestantism that follows the teachings of Martin Luther and emphasizes salvation through faith alone.,Anglicanism is a branch of Christianity that originated in the Church of England and focuses on the Book of Common Prayer.,"Mennonite is a Protestant denomination that believes in the importance of pacifism, nonviolence, and nonresistance in following Jesus Christ.",Presbyterianism is a Protestant denomination that follows the teachings of the reformer John Calvin and emphasizes the sovereignty of God.,Christian Denominations,checked 2023-06-05 12:15:02
19918,"In Christianity, which festival marks the beginning of Lent?",medium,Ash Wednesday,Palm Sunday,Easter Sunday,Good Friday,1,"Ash Wednesday marks the beginning of Lent, a period of 40 days of fasting, prayer and penitence before Easter.","Palm Sunday is the Sunday before Easter, commemorating Jesus’ entry into Jerusalem.",Easter Sunday is the day that marks the resurrection of Jesus Christ,Good Friday is the day that marks the crucifixion and death of Jesus Christ,Christian Festivals,checked 2023-06-05 15:40:32
19919,What is the difference between justification and sanctification in Christian theology?,medium,"Justification is the process of being made holy and blameless before God, while sanctification is the process of being declared righteous before God.","Justification is the process of being declared righteous before God, while sanctification is the process of being made holy and blameless before God.",Justification and sanctification are synonymous terms in Christian theology.,"Justification refers to the forgiveness of sins, while sanctification refers to the transformation of one's character to become more like Christ.",2,This is incorrect because it confuses the definitions of justification and sanctification.,"This is correct. Justification has to do with being declared righteous before God, while sanctification has to do with the ongoing process of being made holy and blameless before God.",This is incorrect because justification and sanctification are distinct terms in Christian theology.,This is incorrect because it only partially defines justification and sanctification.,Christian Theology,checked 2023-06-05 12:21:02
19920,Who was the queen of Sheba that visited King Solomon?,medium,Queen Esther,Queen Vashti,Queen of Sheba,Queen Jezebel,3,Queen Esther was not the Queen of Sheba.,Queen Vashti was not the Queen of Sheba.,The Queen of Sheba visited King Solomon to test his knowledge and wisdom.,Queen Jezebel was the wife of King Ahab and not the Queen of Sheba.,Old Testament Characters,checked 2023-06-05 12:21:31
